transactionCode,customerCode,amount,currency,transactionDate,transactionHour,originLocation,destinationLocation
TX-R1-001,CLI-R1-001,750000,CLP,2026-07-10,10:15,Santiago,Santiago
TX-R1-002,CLI-R1-002,900000,CLP,2026-07-10,16:20,Valparaiso,Valparaiso
TX-R1-003,CLI-R1-003,510000,CLP,2026-07-11,11:35,Concepcion,Concepcion
TX-R2-001,CLI-R2-001,120000,CLP,2026-07-11,00:30,Santiago,Santiago
TX-R2-002,CLI-R2-002,180000,CLP,2026-07-11,03:45,La Serena,La Serena
TX-R2-003,CLI-R2-003,220000,CLP,2026-07-12,05:50,Temuco,Temuco
TX-R3-001,CLI-R3-001,50000,CLP,2026-07-12,14:00,Santiago,Santiago
TX-R3-002,CLI-R3-001,55000,CLP,2026-07-12,14:03,Santiago,Santiago
TX-R3-003,CLI-R3-001,60000,CLP,2026-07-12,14:06,Santiago,Santiago
TX-R3-004,CLI-R3-001,65000,CLP,2026-07-12,14:09,Santiago,Santiago
TX-R4-001,CLI-R4-001,130000,CLP,2026-07-13,15:00,Santiago,Santiago
TX-R4-002,CLI-R4-001,140000,CLP,2026-07-13,15:30,Valparaiso,Valparaiso
TX-R4-003,CLI-R4-002,160000,CLP,2026-07-13,17:10,Concepcion,Concepcion
TX-R4-004,CLI-R4-002,170000,CLP,2026-07-13,17:45,Temuco,Temuco
TX-R5-001,CLI-R5-001,45000,CLP,2026-07-14,09:15,Santiago,Santiago
TX-R5-002,CLI-R5-002,80000,CLP,2026-07-14,12:40,Valdivia,Valdivia
TX-R5-003,CLI-R5-003,95000,CLP,2026-07-14,18:05,Antofagasta,Antofagasta
TX-R5-004,CLI-R5-004,110000,CLP,2026-07-15,20:20,Iquique,Iquique
TX-R5-005,CLI-R5-005,135000,CLP,2026-07-15,08:55,Rancagua,Rancagua
TX-R5-006,CLI-R5-006,150000,CLP,2026-07-15,13:25,Punta Arenas,Punta Arenas
